"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water_ub","access_water_lb","year"
"ECU","country","4","male",NA,NA,293.270143139127,380,1044.89795732599,3334,0.815816822728113,0.0677125983867931,0.00633482156191513,0.0814966504653929,NA,0.906487735037688,0.763398515681997,0.176743708507734,0.0389648894579472,0.0389648894579472,0.709110840946891,0.158160659086196,0.0348971121232071,0.0348971121232071,NA,NA,0.00779857226097991,0.0130943140913421,0.00431912288139291,0.965026071580299,0.889864242676821,2017
"ECU","country","4","female",NA,NA,291.318999473493,380,842.718571490085,3526,0.866737332752612,0.0560220335425713,0.0114149133292337,0.064377485992239,NA,0.903737633090165,0.796673016698069,0.168134691390526,0.0160676497972294,0.0160676497972294,0.748470370386616,0.139471435083012,0.0141652822523484,0.0141652822523484,NA,NA,0.00153827038425617,0.0175863717299196,0.00163054536818863,0.987136852287422,0.934174279624417,2017
"ECU","country","5","male",NA,NA,744.951890880769,34700,1970.9650701668,34700,0.896050169240201,0.0372747361004035,0.00505838691601062,0.0475882812129039,NA,0.931932826900345,0.841153142140747,0.131326252133149,0.0167186274477726,0.0167186274477726,0.796277892843162,0.118438405507436,0.0161852012851421,0.0161852012851421,NA,NA,0.0029471928751765,0.00785478540315565,0.00103132726460453,0.980913186553509,0.938383292256616,2017
"ECU","country","5","female",NA,NA,731.896252107206,50260,1513.5113077719,50260,0.930368340740846,0.0306227427740238,0.00276068320169188,0.0239872754276368,NA,0.934272512242692,0.897576819000925,0.0930258123960472,0.00485961094643244,0.00485961094643244,0.84952190988914,0.0808249513064433,0.00351824066045049,0.00351824066045049,NA,NA,0.00347102583798877,0.00106673181860684,0.000407410386658258,0.984978358942506,0.963751766716561,2017
"ECU","urban","1","male",NA,NA,60.5394763144334,91,285.168926352307,1100,0.757165616460379,0.15132184803354,0.00360152238421133,0.0493579471897193,NA,0.84187073711268,0.715579521709797,0.230420147255599,0.0341639573211827,0.0341639573211827,0.624074350582008,0.184700511702677,0.0295105626731484,0.0295105626731484,NA,NA,0.00176290361243968,0.0180734701009813,0.00358531215484714,0.957845411683638,0.91208898687813,2017
"ECU","urban","2","male",NA,NA,120.669734571297,150,532.502222009876,1641,0.811734526923033,0.107786237610772,0.00974972132566284,0.0411599106566849,NA,0.882060492584634,0.747761658154832,0.201271058431185,0.0321064978037834,0.0321064978037834,0.67036716999099,0.179269275161798,0.0285166751110957,0.0285166751110957,NA,NA,0.00288069217289344,0.0159800934373059,0.00390737232075034,0.96068067519049,0.929270485859468,2017
"ECU","urban","3","male",NA,NA,186.457557204277,227.5,745.665036227804,2943,0.859730259343656,0.0840785419326199,0.00533500906948746,0.0344309936442613,NA,0.898115854994242,0.808379676877073,0.164247957635584,0.0148233692233568,0.0148233692233568,0.741309974989971,0.142984027288882,0.012717328514106,0.012717328514106,NA,NA,0.00297267568534608,0.00957632057863966,0.00110452420128215,0.978239794920537,0.949143810345763,2017
"ECU","urban","4","male",NA,NA,294.549213648915,380,1066.55430033385,3334,0.903470378945292,0.0583213027734254,0.00614595879368105,0.0246753015887488,NA,0.916226384491147,0.864041591455266,0.121812490256424,0.00890060145819087,0.00890060145819087,0.801461827049962,0.107060439885999,0.00749488750998756,0.00749488750998756,NA,NA,0.000757163528322776,0.0044881533017973,0.000209230045198572,0.986466983307466,0.967937640512399,2017
"ECU","urban","5","male",NA,NA,743.255163949673,34700,1992.9944766359,34700,0.941846879181197,0.0324022825236957,0.00489110922703694,0.0174965758151644,NA,0.940143775518567,0.894687673397901,0.0942402460914836,0.00472448930116275,0.00472448930116275,0.85074320776373,0.0847054117779173,0.00469515597691979,0.00469515597691979,NA,NA,0.000629113881495674,0.00571847732795727,-1.11022302462516e-16,0.991745737520057,0.97914027093193,2017
"ECU","urban","1","female",NA,NA,59.8248333327707,91,247.832127809443,897,0.716121595730887,0.195469483827795,0.00486596019768714,0.0497890392024853,NA,0.827233373995994,0.708684768308267,0.228048086204296,0.0417190752360499,0.0417190752360499,0.596574262606401,0.192193007666497,0.0373648025674486,0.0373648025674486,NA,NA,0.00915408574796058,0.0123939845034268,0.00110130115564733,0.961380118761167,0.916457039756369,2017
"ECU","urban","2","female",NA,NA,119.349598507556,150,462.340426265216,1525,0.845802322166727,0.0905313410216059,0.00448061132081626,0.0305564700501662,NA,0.869517680994259,0.77255067138189,0.201857606422702,0.0132201847720315,0.0132201847720315,0.685530854200149,0.171998509898132,0.00911241381339804,0.00911241381339804,NA,NA,0.00452701998709958,0.00784451743627668,0.0028759030825809,0.966890133238499,0.940814274509149,2017
"ECU","urban","3","female",NA,NA,184.962145916027,227.2,619.548657498409,3066,0.854467803419522,0.0875448017295304,0.00301125838334121,0.0268149602294372,NA,0.898006356241939,0.780304807377842,0.192585230669026,0.0175964996547727,0.0175964996547727,0.709313113773092,0.172861133787138,0.0149757316782951,0.0149757316782951,NA,NA,0.00379943042627566,0.00571403187208375,0.000856377003413566,0.96882756537849,0.945023863532394,2017
"ECU","urban","4","female",NA,NA,292.922912365469,380,861.756275418144,3526,0.921162309510075,0.0463451377461937,0.00773718878404782,0.0233347726129219,NA,0.911513034695617,0.85781872481209,0.121854509877334,0.00629072480377719,0.00629072480377719,0.80762091333455,0.0973354334240998,0.00607480224023964,0.00607480224023964,NA,NA,0.000386006222901323,0.0136500342838974,0.000481885696728357,0.99084221986919,0.975244636040316,2017
"ECU","urban","5","female",NA,NA,736.349881975297,50260,1519.25044726747,50260,0.962054139928658,0.0245456917118698,0.00288817201062525,0.00905817785133859,NA,0.938234639652883,0.934446856130656,0.0645113475996914,0.000303148383388698,0.000303148383388698,0.885246260739801,0.0526852305296928,0.000303148383388698,0.000303148383388698,NA,NA,0,0.000738647886263433,-1.11022302462516e-16,0.995658009491867,0.989488003651153,2017
